 8.000000 0.000000 7.860170 27.501144 21.945711 8.429895 17.896380 26.524510 20.497986     12.61501 15.60025 13.75770
 8.200000 0.000000 7.828029 27.754853 21.639281 8.390942 17.454257 26.862087 20.040472     13.23060 15.37255 14.86125
 8.400000 0.000000 7.772274 27.587051 21.710708 9.002446 17.319246 26.517239 20.461848     12.33384 16.14819 15.73666
 8.600000 0.000000 7.769845 27.485555 21.196862 8.771950 17.382189 26.375526 19.503986     14.89039 15.42287 14.72020
 8.800000 0.000000 7.739427 27.565030 21.488000 8.424868 17.129369 26.057900 19.534896     16.20449 14.46033 14.79404
 9.000000 0.000000 7.873197 28.026636 21.509368 8.631551 16.418489 26.451608 20.227096     16.13274 15.77130 13.82599
 9.200000 0.000000 7.815621 28.213588 21.196682 8.096092 16.446614 26.212615 19.877545     15.78440 15.95851 15.74871
 9.400000 0.000000 7.825086 29.105302 21.186770 8.358212 16.560051 27.206623 19.868638     16.07861 15.64542 12.65891
 9.600000 0.000000 7.844805 28.337231 21.145416 8.519062 16.575721 26.496283 19.893757     14.53194 15.20979 13.16812
 9.800000 0.000000 7.881054 28.163547 20.379419 8.146395 16.703449 26.092447 19.210839     14.68584 12.95860 14.03875
 10.000000 0.000000 7.915367 27.940736 19.982056 8.029830 16.672457 25.795961 19.322136    14.53802 13.60118 13.51885
 10.200000 0.000000 7.745312 28.399353 20.629446 8.018329 15.852637 26.387787 20.189172    15.59241 13.72211 14.78455
 10.400000 0.000000 7.824568 28.479630 20.462916 7.823127 15.517294 26.301322 19.655385    17.08062 14.31769 14.67210
 10.600000 0.000000 7.826221 28.030843 20.837791 7.417468 14.999498 26.700183 20.440224    18.44424 16.14151 15.17874
 10.800000 0.000000 7.810254 28.384669 20.597506 8.209450 15.101702 27.238367 20.971217    15.44849 14.67959 14.28220
 11.000000 0.000000 7.920738 27.494406 20.861213 8.638477 15.449288 26.484984 21.955909    16.96713 16.71770 11.58424
 11.200000 0.000000 7.831584 28.219498 20.896434 9.302531 15.238459 26.391909 22.655470    17.66176 15.94510 12.93691
 11.400000 0.000000 7.920165 27.963151 21.415832 9.663963 15.737007 25.953706 23.185530    16.34624 14.60762 14.39483
 11.600000 0.000000 7.847298 27.833542 21.402030 9.467478 15.579023 26.138074 23.106912    17.81336 13.73409 14.46563
 11.800000 0.000000 7.929031 27.742501 20.733469 10.098865 15.720155 25.824952 22.520603   13.30582 14.41274 11.91746
 12.000000 0.000000 7.957730 28.348196 20.093964 9.722164 15.322661 25.885173 21.994831    14.53457 15.40889 13.47965
 12.200000 0.000000 7.822290 28.704049 20.079220 9.622851 15.471058 26.580789 21.938121    13.30536 15.15478 14.10533
 12.400000 0.000000 7.425491 28.572657 20.491842 9.276341 15.408642 26.561735 21.725290    12.02106 13.14480 13.09339
 12.600000 0.000000 7.907134 29.198073 20.758456 8.438668 14.903188 27.206622 21.678647    12.45260 15.16554 14.58873
 12.800000 0.000000 7.814052 28.578524 20.863577 8.351227 13.956033 27.490531 21.702671    12.71794 15.37358 15.64194
 13.000000 0.000000 7.838758 28.612075 20.767262 7.876454 14.228412 27.411436 21.410395    12.89484 15.28912 15.67323
 13.200000 0.000000 7.810438 28.488254 21.306347 8.846150 15.414807 27.204085 21.562813    12.86004 13.59197 15.34083
 13.400000 0.000000 7.812331 29.263089 21.135638 8.831098 15.486474 27.052789 21.470673    13.22955 13.26920 16.38946
 13.600000 0.000000 7.876474 29.305447 21.654206 9.276513 15.391200 26.993744 21.292336    13.26062 13.13200 15.38381
 13.800000 0.000000 7.890370 29.659972 21.709816 9.701168 15.773281 27.476055 21.278794    12.16000 12.81643 15.12743
 14.000000 0.000000 7.964551 29.558082 20.897070 10.155580 16.337147 27.519163 20.998399   10.55560 12.61450 15.45849
 14.200000 0.000000 7.841040 29.021996 20.646076 9.841075 16.573488 26.883334 20.471375    12.04947 11.42017 14.32602
 14.400000 0.000000 7.839312 29.315031 20.608389 9.424033 16.183207 27.109079 19.807075    10.54889 14.68081 16.23926
 14.600000 0.000000 7.885550 29.037002 20.950544 9.422147 16.862288 27.228871 20.307329    11.54441 13.93058 14.89525
